name,price,strong
          Noto Ginger #4        ,"                    €3,74",Extra Stark
          ACE X Guarana Chili Boost        ,"                    €4,49",Extra Stark
          Velo Lime Flame        ,"                    €5,45",Stärker
          Garant Extreme Cola        ,"                    €4,55",Ultra Stark
          Fedrs #Hard Banana        ,"                    €5,15",Ultra Stark
          Klint Pink Grapefruit        ,"                    €3,99",Extra Stark
          Killa Bubblegum        ,"                    €3,69",Extra Stark
          Nor No.4 Hardanger         ,"                    €3,50",Stärker
          ACE Green Lemon        ,"                    €4,49",Extra Stark
          Cuba White Banana Hit        ,"                    €4,50",Extra Stark
          Fix Green Mango Lemongrass        ,"                    €3,85",Extra Stark
          Nor No.9 Lyngen         ,"                    €3,50",Stärker
          Grant Orange        ,"                    €4,45",Extra Stark
          Killa Tropical Punch        ,"                    €3,69",Extra Stark
          Killa Cherry Cola        ,"                    €3,69",Extra Stark
          Velo Bright Spearmint #1        ,"                    €5,45",Leicht
          Grant Mint        ,"                    €4,45",Extra Stark
          Kurwa Fatality Energy Cola        ,"                    €4,89",Ultra Stark
          Edel Foreverice        ,"                    €4,39",Ultra Stark
          ACE X Limited Strawberry Basil MINI        ,"                    €3,89",Extra Stark
          ACE Cool Mint        ,"                    €4,99",Extra Stark
          Fedrs #Hard Double Mint        ,"                    €5,15",Ultra Stark
          Pablo Exclusive Green Mint        ,"                    €3,99",Ultra Stark
          Skruf White Fresh #4        ,"                    €5,29",Extra Stark
          Kurwa-Killer Blackcurrant        ,"                    €4,89",Ultra Stark
          Killa Melon Slim        ,"                    €3,69",Extra Stark
          Killa Cold X Mint        ,"                    €3,69",Extra Stark
          V&YOU Boost+ Berry Fizz        ,"                    €3,89",Ultra Stark
          Iceberg Apple Lemon Pineapple        ,"                    €4,49",Ultra Stark
          Apres N°10 Apres Spritz Extra Strong        ,"                    €3,59",Extra Stark
          Candys Ice Candy        ,"                    €4,89",Ultra Stark
          Nois Spearmint        ,"                    €3,99",Extra Stark
          Garant Extreme Energy Drink        ,"                    €4,55",Ultra Stark
          Iceberg Grape Gum        ,"                    €4,49",Ultra Stark
          Apres N°1 Menthol        ,"                    €3,59",Extra Stark
          V&YOU Focus Berry        ,"                    €3,89",Mittelstark
          Blck Blueberry        ,"                    €3,60",Stärker
          Killa Lemonade        ,"                    €3,69",Extra Stark
          Candys Cola Marmelade        ,"                    €4,89",Ultra Stark
          Iceberg Menthol        ,"                    €4,49",Ultra Stark
          Velo Mango Flame        ,"                    €5,45",Stärker
          Apres N°4 Après Cola        ,"                    €3,59",Extra Stark
          Nor No.12 Glittertind        ,"                    €3,50",Stärker
          Garant Extreme Ice Guava        ,"                    €4,09",Ultra Stark
          Nor No.10 Hvaler         ,"                    €3,50",Mittelstark
          Nois Mini Extreme        ,"                    €3,99",Ultra Stark
          Kurwa Collection Strawberry Gum        ,"                    €3,95",Stärker
          ACE X Limted Raspberry Chili MINI        ,"                    €3,15",Extra Stark
          Killa Frosted Mint        ,"                    €3,69",Extra Stark
          Kurwa Fatality Apple Bubblegum        ,"                    €4,89",Ultra Stark
          Cuba White Black Currant        ,"                    €4,50",Extra Stark
          V&YOU Focus Citrus        ,"                    €3,89",Mittelstark
          Cuba White Ice Spearmint        ,"                    €4,50",Extra Stark
          Helwit Cherry #3        ,"                    €4,55",Mittelstark
          ACE Cool Mint Low        ,"                    €4,49",Mittelstark
          Apres N°3 Lemon Curd        ,"                    €3,99",Extra Stark
          Korn Hard 35        ,"                    €3,95",Ultra Stark
          Nois Eucalypt        ,"                    €3,99",Ultra Stark
          V&YOU Boost Citrus        ,"                    €3,89",Extra Stark
          Edel Polar        ,"                    €4,39",Extra Stark
          ACE Spearmint        ,"                    €4,49",Stärker
          Loop Smooth Mint Extra Strong        ,"                    €5,10",Stärker
          Apres Hyper Strong Spritz        ,"                    €3,99",Extra Stark
          Kurwa Fatality Black Fruit Mint        ,"                    €4,89",Ultra Stark
          Apres N°2 Mint        ,"                    €3,59",Mittelstark
          Garant Extreme Coconut        ,"                    €4,09",Ultra Stark
          Klint Pomegranate        ,"                    €3,99",Mittelstark
          Iceberg Frosty Mint        ,"                    €4,49",Ultra Stark
          Kurwa Fatality Cola & Whisky        ,"                    €4,89",Ultra Stark
          Blck Watermelon        ,"                    €3,60",Stärker
          Camo Peppermint        ,"                    €3,15",Ultra Stark
          Apres N°6 Appletini        ,"                    €3,99",Extra Stark
          Fix Pomelo Lime        ,"                    €3,46",Stärker
          Fix Peach Rhubarb #2        ,"                    €3,85",Mittelstark
          Fix Pineapple Rum Coconut        ,"                    €3,46",Stärker
          ACE Cool Mint X Cosmic        ,"                    €4,49",Extra Stark
          V&YOU Boost Blueberry Ice        ,"                    €3,89",Extra Stark
          Fedrs #Hard Cherry Tobacco        ,"                    €5,15",Ultra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
          Helwit Blueberry #3        ,"                    €4,55",Mittelstark
          Grant Hemp        ,"                    €4,45",Extra Stark
          Loop Jalapeno Lime        ,"                    €5,10",Extra Stark
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
          Pablo Ice Cold Mini        ,"                    €3,99",Ultra Stark
          Cuba White Cherry        ,"                    €4,50",Extra Stark
          VILD Storm Triple Mint        ,"                    €4,49",Extra Stark
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          Nois Ice Cool        ,"                    €3,99",Ultra Stark
          Skruf Frozen Shot #4        ,"                    €5,29",Extra Stark
          Skruf White Fresh #3        ,"                    €5,29",Stärker
          Fedrs #Hard Pine Forest        ,"                    €5,15",Ultra Stark
          Killa Strawberry Watermelon        ,"                    €3,69",Extra Stark
          Killa Dark Cherry        ,"                    €3,69",Extra Stark
          Velo Crispy Peppermint Mini        ,"                    €5,45",Stärker
          Nor No.3 Galdhøpiggen        ,"                    €3,50",Mittelstark
          Nor No.11 Lillesand         ,"                    €3,50",Stärker
          ACE X Limited SPEARMINT MINI        ,"                    €3,89",Extra Stark
          Kurwa Collection Raspberry Strawberry 4/5        ,"                    €3,95",Stärker
          Killa Orange        ,"                    €3,69",Extra Stark
          Klint Rose Mini        ,"                    €3,99",Mittelstark
          V&YOU White Edition Mango Freeze        ,"                    €3,89",Extra Stark
          Helwit Menthol #4        ,"                    €4,09",Stärker
          Edel Cold        ,"                    €4,39",Stärker
          ACE X Black Raspberry Chili        ,"                    €4,99",Extra Stark
          Helwit Cola #2        ,"                    €4,55",Mittelstark
          Grant Double Ice        ,"                    €4,45",Extra Stark
          Blck Cola        ,"                    €3,60",Stärker
          Velo Purple Grape        ,"                    €5,45",Stärker
          Baow Gin & Tonic        ,"                    €3,65",Extra Stark
          Fedrs 8 Mint        ,"                    €5,15",Ultra Stark
          V&YOU Boost+ Mint Freeze        ,"                    €3,89",Ultra Stark
          Fix Sweet Mint Lemon        ,"                    €3,46",Mittelstark
          Edel Citrus        ,"                    €4,39",Extra Stark
          Gritt Frost Bite Extra Strong        ,"                    €4,99",Extra Stark
          Killa Spearmint        ,"                    €3,69",Extra Stark
          Fumi Strawberry Cream 3        ,"                    €4,10",Stärker
          Loop Mango Tango        ,"                    €5,10",Extra Stark
          Skruf White Fresh #2        ,"                    €5,29",Stärker
          Velo Zest Flame        ,"                    €5,45",Stärker
          Blck Cold Mint        ,"                    €3,60",Stärker
          Xtrime Black X-Iceberry        ,"                    €4,49",Ultra Stark
          Nor No.19 Frosta        ,"                    €3,50",Extra Stark
          ACE X Limited COOL MINT MINI        ,"                    €3,89",Extra Stark
          V&YOU Boost Berry Fizz        ,"                    €3,89",Extra Stark
          Fix Fig Raspberry        ,"                    €3,85",Stärker
          Fumi Spicy Cola 3        ,"                    €4,10",Stärker
          Helwit Banana#2        ,"                    €4,09",Mittelstark
          Velo Arctic Grapefruit        ,"                    €5,45",Stärker
          COCO Mighty Colada        ,"                    €4,79",Ultra Stark
          Xtrime Black X-Lime        ,"                    €4,49",Ultra Stark
          Fumi Salty Raspberry 3        ,"                    €4,10",Stärker
          Helwit Orange #3        ,"                    €4,55",Mittelstark
          Chainpop Peach & Honey        ,"                    €4,59",Stärker
          Gritt Crisp Ice Extra Strong        ,"                    €4,99",Extra Stark
          VILD Storm Triple Mint        ,"                    €4,49",Extra Stark
          Chainpop Raspberry & Lemon        ,"                    €4,59",Mittelstark
          Helwit Blueberry #4        ,"                    €4,55",Extra Stark
          Cuba Black Cold Dry        ,"                    €4,05",Ultra Stark
          Chainpop Apple & Cinnamon        ,"                    €4,59",Stärker
          Nois Watermelon Ice        ,"                    €3,99",Ultra Stark
          Edel Melon        ,"                    €4,39",Extra Stark
          Gritt Frost Bite        ,"                    €4,99",Extra Stark
          Klint Liquorice        ,"                    €3,99",Stärker
          V&YOU White Edition Mint Ice        ,"                    €3,89",Extra Stark
          ACE Extreme Cool Slim        ,"                    €4,49",Extra Stark
          V&YOU Boost+ Berry Kiwi Rush        ,"                    €3,89",Ultra Stark
          Chainpop Lychee & Coconut        ,"                    €4,59",Mittelstark
          COCO Mighty Lemonade        ,"                    €4,32",Ultra Stark
          Velo Blue Raspberry        ,"                    €5,45",Stärker
          Velo Ruby Berry        ,"                    €5,45",Stärker
          Grant Eucalyptus        ,"                    €4,45",Extra Stark
          V&YOU Focus Blueberry Ice        ,"                    €3,89",Stärker
          V&YOU Boost Max Frutti Blast        ,"                    €3,89",Ultra Stark
          Apres Hyper Strong Lemon Curd        ,"                    €3,59",Extra Stark
          Xtrime Black X-Freeze        ,"                    €4,49",Ultra Stark
          Apres Hyper Strong Cola        ,"                    €3,59",Extra Stark
          V&YOU Boost Mint Freeze        ,"                    €3,89",Extra Stark
          Chainpop Violet & Cactus        ,"                    €4,59",Mittelstark
          Helwit Mint #2        ,"                    €4,55",Mittelstark
          Edel Berry        ,"                    €4,39",Stärker
          Fumi Icemint        ,"                    €4,10",Extra Stark
          Gritt Crisp Ice        ,"                    €4,99",Extra Stark
          V&YOU Boost Max Savage Mango        ,"                    €3,89",Ultra Stark
          Killa Blue Mint        ,"                    €3,69",Extra Stark
          Edel Melon Mini        ,"                    €3,95",Extra Stark
          Velo Wintery Watermelon Mini        ,"                    €5,45",Stärker
          Helwit Mocha #3        ,"                    €4,55",Mittelstark
          Fedrs #8 Frosty Cherry        ,"                    €5,15",Ultra Stark
          Helwit Banana #4        ,"                    €3,65",Extra Stark
          Loop Habanero        ,"                    €5,10",Extra Stark
          Edel Spearmint Mini        ,"                    €4,39",Stärker
          Helwit Violet #2        ,"                    €4,55",Mittelstark
          Chainpop Almond & Vanilla        ,"                    €4,59",Extra Stark
          Chainpop Melon & Pomegranate        ,"                    €4,59",Extra Stark
          Nor No.16 Telemark Mini        ,"                    €3,50",Stärker
          Baow Ice Mint        ,"                    €4,55",Extra Stark
          COCO Blue Razz        ,"                    €4,32",Extra Stark
          Rave Lemoncello        ,"                    €3,89",Ultra Stark
          ACE Liquorice Slim        ,"                    €4,49",Extra Stark
          Nor No.8 Jomfruland         ,"                    €3,50",Stärker
          COCO Mighty Fresh        ,"                    €4,32",Ultra Stark
          Fumi Icemint Super Strong        ,"                    €4,10",Ultra Stark
          Baow Chili Lime        ,"                    €4,55",Extra Stark
          Loop Red Chili Melon        ,"                    €5,10",Extra Stark
          COCO Tropical Mango        ,"                    €4,32",Extra Stark
          Killa Green Mint        ,"                    €3,69",Extra Stark
          Loop Smooth Mint Mini        ,"                    €5,10",Mittelstark
          Xtrime Black X-Cold        ,"                    €4,49",Ultra Stark
          ACE Cool Mint X        ,"                    €4,49",Extra Stark
          Apres Hyper Strong Peach        ,"                    €3,39",Extra Stark
          Pablo Ice Cold Mini        ,"                    €3,99",Ultra Stark
          Cuba White Cherry        ,"                    €4,50",Extra Stark
          VILD Storm Triple Mint        ,"                    €4,49",Extra Stark
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          Nois Ice Cool        ,"                    €3,99",Ultra Stark
          Cuba White Cold Dry        ,"                    €4,50",Extra Stark
          Fix Ruby Chocolate        ,"                    €3,85",Mittelstark
          Helwit Cola #4        ,"                    €4,55",Extra Stark
          Nor No.14 Hardanger Mini        ,"                    €3,50",Stärker
          Nor No.13 Glittertind Mini        ,"                    €3,50",Stärker
          Helwit Pear #3        ,"                    €4,55",Mittelstark
          Velo Zesty Elderflower        ,"                    €5,45",Stärker
          Grant Spearmint        ,"                    €4,45",Extra Stark
          Apres Hyper Strong Menthol        ,"                    €3,59",Extra Stark
          Garant Extreme Orange        ,"                    €4,55",Ultra Stark
          Loop Jalapeno Lime Mini        ,"                    €5,10",Mittelstark
          Velo Freezing Peppermint Ultra        ,"                    €5,45",Extra Stark
          Nor No.15 Galdhøpiggen Mini        ,"                    €3,50",Mittelstark
          V&YOU Boost Max Frostbite        ,"                    €3,89",Ultra Stark
          Helwit Violet #4        ,"                    €4,55",Extra Stark
          Edel Mint        ,"                    €4,39",Stärker
          Loop Jalapeno Lime Hyper Strong        ,"                    €5,10",Stärker
          Grant Menthol        ,"                    €4,45",Extra Stark
          Velo Sour Lime        ,"                    €5,45",Leicht
          Helwit Mocha #4        ,"                    €4,55",Extra Stark
          Ace X Nordic Freeze        ,"                    €4,99",Extra Stark
          Apres N°5 Ice Tea Peach MINI        ,"                    €3,99",Mittelstark
          Nor No.17 Frosta Mini        ,"                    €3,50",Mittelstark
          E-Geschenkkarte        ,"€10,00",
          Loop Spicy Apple Strong        ,"                    €5,10",Stärker
          VILD Kuling Double Mint        ,"                    €4,49",Stärker
          V&YOU Focus Mint Freeze        ,"                    €3,89",Stärker
          Chainpop Peppermint & Ice        ,"                    €4,59",Extra Stark
          Gritt Spearmint Extra Strong        ,"                    €4,99",Extra Stark
          Skruf Polar #3        ,"                    €5,29",Stärker
          Loop Hot Peach Strong        ,"                    €5,10",Stärker
          Apres N°10 Apres Spritz MINI        ,"                    €3,99",Mittelstark
          Ace X Spearmint        ,"                    €4,99",Extra Stark
          V&YOU Focus Mint        ,"                    €3,89",Mittelstark
          Loop Red Chili Hyper Strong        ,"                    €5,10",Stärker
          Chainpop Cherry & Chili        ,"                    €4,59",Extra Stark
          Loop Ice Cool Extra Strong        ,"                    €5,10",Stärker
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          COCO Natural Mint        ,"                    €4,32",Extra Stark
          ACE X Honeydew Black Pepper        ,"                    €4,99",Extra Stark
          Ace X Double Mint        ,"                    €4,99",Extra Stark
          Baow Piña Colada        ,"                    €4,55",Extra Stark
          Gritt Spearmint        ,"                    €4,49",Extra Stark
          Apres N°4 Cola MINI        ,"                    €3,99",Mittelstark
          Loop Cassis Bliss Strong        ,"                    €5,10",Extra Stark
          Apres N°2 Mint MINI        ,"                    €3,99",Mittelstark
